,Restuarantid,Restaurant,Restaurant_Type,Price_for_two,Cuisine,Location,Area,Link,Timing,Dining_Review_Count,Dining_Rating,Delivery_Rating,Delivery_Review_Count,Price per Person,Rating Category,Total Review Count,Popularity score,price range category
87,88,Hard Rock Cafe,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages",2500,American," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info,12noon – 1am (Today),8294,4.6,3.7,314,1250,Excellent,8608,39597.8,High
88,89,The Black Pearl,"BBQ, North Indian, Biryani",2100,BBQ," Kadubeesanahalli, Bangalore",Kadubeesanahalli,https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore/info,"11:30am – 4:30pm, 6:30pm – 11:30pm (Today)",18300,4.2,3.7,108,1050,Good,18408,77314.6,High
89,90,Pangeo,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",3500,Sushi," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore/info,12noon – 1am (Today),2008,4.5,0.0,0,1750,Excellent,2008,9037.0,High
90,91,Oyster Bar & Kitchen,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",1600,Continental," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info,12noon – 1am (Today),17500,4.5,3.9,612,800,Excellent,18112,81505.0,Medium
91,92,Float Brewery,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",1500,Bar Food," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore/info,12noon – 12midnight (Today),6274,4.4,4.2,121,750,Good,6395,28139.0,Medium
92,93,Big Pitcher,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",1800,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/big-pitcher-sarjapur-road-bangalore/info,11am – 1am (Today),4961,4.5,3.6,1363,900,Excellent,6324,28459.0,Medium
93,94,Zodiac Bar & Kitchen,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",1800,Continental," Brookefield, Bangalore",Brookefield,https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info,12noon – 12midnight (Today),3616,4.3,0.0,1,900,Good,3617,15554.1,Medium
94,95,Brahma Brews,"Asian, North Indian, South Indian",2500,Asian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore/info,12noon – 12midnight (Today),11900,4.5,4.3,1888,1250,Excellent,13788,62047.0,High
95,96,Street 1522,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages",2200,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info,12noon – 1am (Today),5765,4.3,4.3,33,1100,Good,5798,24932.4,High
96,97,TBC- Sky Lounge,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages",1500,Continental," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info,12noon – 1am (Today),21200,4.5,3.7,384,750,Excellent,21584,97129.0,Medium
97,98,Miso Sexy,"Japanese, Chinese, Sushi, Beverages",1800,Japanese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",4349,4.3,4.0,27,900,Good,4376,18817.8,Medium
98,99,Amintiri,"Desserts, Bakery, Fast Food, Beverages, Pasta, Italian, Cafe, Finger Food",1100,Desserts," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/amintiri-church-street-bangalore/info,8:30am – 11:30pm (Today),449,4.4,0.0,0,550,Good,449,1976.6,Medium
99,100,Fox In The Field,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",2000,Modern Indian," Nexus Shantiniketan, Whitefield, Bangalore",Nexus Shantiniketan,https://www.zomato.com/bangalore/fox-in-the-field-whitefield-bangalore/info,12noon – 12midnight (Today),6567,4.2,3.9,281,1000,Good,6848,28762.6,Medium
100,101,JW Kitchen - JW Marriott Bengaluru,"North Indian, Continental, Mughlai, Beverages, Desserts, Asian",5000,North Indian," JW Marriott Bengaluru, Lavelle Road, Bangalore",JW Marriott Bengaluru,https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road/info,6:30am – 11pm (Today),2868,4.2,3.7,264,2500,Good,3132,13155.4,High
101,102,Orah Brew Garden,"Asian, Continental, Desserts, European, Modern Indian",1300,Asian," Yelahanka, Bangalore",Yelahanka,https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore/info,11:30am – 12midnight (Today),2394,4.3,0.0,1,650,Good,2395,10299.5,Medium
102,103,The Scene - Craft Kitchen & Bar,"North Indian, Continental, Asian, Desserts, Beverages",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/the-scene-craft-kitchen-bar-jp-nagar-bangalore/info,12noon – 12midnight (Today),1319,4.2,0.0,0,750,Good,1319,5540.8,Medium
103,104,The Pump House,"Continental, Chinese, North Indian, Italian, Asian, Salad, Pizza, Desserts",1600,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",6315,4.4,3.7,423,800,Good,6738,29648.2,Medium
104,105,Gold Rush Brews,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",1900,North Indian," KR Puram, Bangalore",KR Puram,https://www.zomato.com/bangalore/gold-rush-brews-kr-puram-bangalore/info,12noon – 1am (Today),6341,4.4,3.6,302,950,Good,6643,29230.2,Medium
105,106,The Creek - The Den Bengaluru,"North Indian, South Indian, Asian, Pizza, Desserts",3000,North Indian," The Den, Whitefield, Bangalore",The Den,https://www.zomato.com/bangalore/the-creek-the-den-bengaluru-whitefield/info,12:15am – 11:45pm (Today),1261,4.1,0.0,0,1500,Good,1261,5171.1,High
106,107,Jamming Goat 3.0,"North Indian, Asian, Desserts",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info,12noon – 11pm (Today),1139,4.3,4.0,25,750,Good,1164,5006.2,Medium
107,108,White Garden,"North Indian, Italian, Lebanese, Asian, Continental, Desserts",1600,North Indian," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/white-garden-kalyan-nagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",796,4.3,0.0,0,800,Good,796,3423.8,Medium
108,109,RCB Bar & Cafe,"Continental, Asian, North Indian, Pizza, Fast Food, Desserts, Beverages",2000,Continental," 1 Sobha, Bangalore",1 Sobha,https://www.zomato.com/bangalore/rcb-bar-cafe-st-marks-road-bangalore/info,Opens on Monday at 8:15am,1454,4.4,4.1,224,1000,Good,1678,7384.2,Medium
109,110,Burma Burma - Indiranagar,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts",1800,Burmese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/burma-burma-indiranagar-indiranagar-bangalore/info,Opens tomorrow at 12noon,4118,4.8,4.3,2046,900,Excellent,6164,29588.2,Medium
110,111,Kari Theory - Namma Bar & Kitchen,"South Indian, North Indian, Street Food, Biryani, Continental, Asian, Italian, Bar Food",3500,South Indian," Radisson Bangalore City Centre, Ulsoor, Bangalore",Radisson Bangalore City Centre,https://www.zomato.com/bangalore/kari-theory-namma-bar-kitchen-ulsoor-bangalore/info,24 Hours (Today),162,4.2,0.0,1,1750,Good,163,685.6,High
111,112,Proxy,"Finger Food, Street Food, Pasta, Bar Food, Desserts",1200,Finger Food," Mahadevapura, Bangalore",Mahadevapura,https://www.zomato.com/bangalore/proxy-mahadevapura-bangalore/info,12noon – 12:30am (Today),1137,4.4,4.1,104,600,Good,1241,5461.4,Medium
112,113,Nevermind - Bar & Social,"Bar Food, North Indian, Chinese, Continental, Burger",1800,Bar Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info,12noon – 1am (Today),2862,4.1,3.6,125,900,Good,2987,12247.7,Medium
113,114,Brooks And Bonds Brewery,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",2000,Continental," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info,12noon – 1am (Today),1200,4.2,3.9,71,1000,Good,12071,50699.2,Medium
114,115,Omega IX Cocktail Bar And Global Kitchen,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",1800,North Indian," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/omega-ix-cocktail-bar-and-global-kitchen-sahakara-nagar-bangalore/info,12:15pm – 11:30pm (Today),1760,4.2,4.3,79,900,Good,1839,7724.8,Medium
115,116,Hashtag 88,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",1200,Asian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore/info,12noon – 12midnight (Today),2523,4.3,0.0,0,600,Good,2523,10849.9,Medium
116,117,Geometry Gastropub,"Continental, North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",1600,Continental," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/geometry-gastropub-new-bel-road-bangalore/info,12noon – 1am (Today),2078,4.4,0.0,0,800,Good,2078,9144.2,Medium
117,118,The Groot,"Italian, North Indian, Chinese, Burger, Pasta, Pizza, Salad, Desserts",1200,Italian," Bhartiya Mall of Bengaluru, Bangalore",Bhartiya Mall of Bengaluru,https://www.zomato.com/bangalore/the-groot-jakkur-bangalore/info,12noon – 12midnight (Today),805,4.0,3.6,34,600,Good,839,3357.0,Medium
118,119,Foo Brigade Road,"Chinese, Sushi, Asian, Japanese, Desserts",2000,Chinese," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore/info,11am – 11:30pm (Today),707,4.6,4.4,342,1000,Excellent,1049,4826.4,Medium
119,120,The Reservoire,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",2000,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info,11am – 1am (Today),7465,4.4,4.3,869,1000,Good,8334,36670.6,Medium
120,121,Mezera Brewery & Kitchen,Continental,1600,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/mezera-brewery-kitchen-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",410,4.2,0.0,0,800,Good,410,1723.0,Medium
121,122,Gawky Goose,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages",2200,Italian," Old Airport Road, Bangalore",Old Airport Road,https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info,12noon – 11:30pm (Today),2007,4.4,3.8,899,1100,Good,2906,12787.4,High
122,123,Pasta Street,"Pasta, Pizza, Italian, Salad, Desserts, Beverages",1800,Pasta," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/pasta-street-jp-nagar-bangalore/info,11am – 11:30pm (Today),4761,4.5,4.1,2461,900,Excellent,7222,32500.0,Medium
123,124,TOY BOY,"Bar Food, North Indian, Pizza, Oriental",2000,Bar Food," Majestic, Bangalore",Majestic,https://www.zomato.com/bangalore/toy-boy-majestic-bangalore/info,"12midnight – 1am, 12noon – 11:45pm (Today)",269,4.5,0.0,0,1000,Excellent,269,1211.5,Medium
124,125,Peepai,"North Indian, Pizza, Chinese, European, Bar Food, Biryani, Desserts, Beverages",2500,North Indian," Hebbal, Bangalore",Hebbal,https://www.zomato.com/bangalore/peepai-3-hebbal-bangalore/info,12noon – 12midnight (Today),2329,4.5,4.1,722,1250,Excellent,3051,13730.5,High
125,126,Tales Of Flamingo,"Continental, Asian, North Indian, Desserts",1500,Continental," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/tales-of-flamingo-bannerghatta-road-bangalore/info,12noon – 12midnight (Today),310,4.5,0.0,0,750,Excellent,310,1396.0,Medium
126,127,Tim Hortons,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food",1000,Cafe," Koramangala 8th Block, Bangalore",Koramangala 8th Block,https://www.zomato.com/bangalore/tim-hortons-koramangala-8th-block-bangalore/info,"12midnight – 4am, 8am – 12midnight (Today)",488,4.2,4.3,711,500,Good,1199,5036.8,Low
127,128,VYANA - World Cuisine,"Italian, Oriental, Continental, Chinese, Salad, Pizza, North Indian, Desserts",1700,Italian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/vyana-world-cuisine-jp-nagar-bangalore/info,Opens tomorrow at 12noon,976,4.0,3.8,129,850,Good,1105,4421.0,Medium
128,129,Deck Of Brews,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",1500,Continental," Kadubeesanahalli, Bangalore",Kadubeesanahalli,https://www.zomato.com/bangalore/deck-of-brews-kadubeesanahalli-bangalore/info,12noon – 12midnight (Today),1892,4.3,0.0,0,750,Good,1892,8136.6,Medium
129,130,JULIET,"Asian, Continental, Sushi, Thai, Japanese, Desserts",2500,Asian," 1 MG Road Mall, MG Road, Bangalore",1 MG Road Mall,https://www.zomato.com/bangalore/juliet-mg-road-bangalore/info,6pm – 1am (Today),511,4.2,0.0,0,1250,Good,511,2147.2,High
130,131,Bologna,"Italian, Pasta, Pizza, Desserts",1500,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bologna-indiranagar-bangalore/info,Opens tomorrow at 12noon,3671,4.9,4.4,1010,750,Excellent,4681,22937.9,Medium
131,132,Brother Barley Brewing Company,"Finger Food, Continental, North Indian, Chinese, Italian, Beverages, Desserts",1800,Finger Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/brother-barley-brewing-company-hsr-bangalore/info,12noon – 11:45pm (Today),2759,4.2,3.8,125,900,Good,2884,12113.8,Medium
132,133,Communiti,"American, Continental, European, Italian, Oriental, Burger, Beverages",1800,American," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/communiti-brigade-road-bangalore/info,"12midnight – 1am, 11:30am – 12midnight (Today)",20200,4.5,0.0,0,900,Excellent,20200,90901.0,Medium
133,134,Rumi,"Awadhi, Mughlai, North Indian, Kebab, Desserts",1100,Awadhi," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/info,"12noon – 4pm, 6pm – 12midnight (Today)",779,4.0,4.1,2921,550,Good,3700,14801.0,Medium
134,135,Shift Lounge & Bar,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai",1400,Finger Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/shift-lounge-bar-hsr-bangalore/info,10:30am – 12midnight (Today),5256,4.2,4.1,344,700,Good,5600,23521.0,Medium
135,136,Hydra Club & Kitchen,"Continental, Biryani, North Indian, South Indian, Japanese, Chinese",1200,Continental," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore/info,11am – 11:45pm (Today),347,4.3,0.0,3,600,Good,350,1506.0,Medium
136,137,Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",2000,North Indian," Nexus Shantiniketan, Whitefield, Bangalore",Nexus Shantiniketan,https://www.zomato.com/bangalore/punjab-grill-whitefield-bangalore/info,11am – 11:30pm (Today),4346,4.3,3.9,3943,1000,Good,8289,35643.7,Medium
137,138,Suku Japanese And Thai Restaurant,"Japanese, Thai, Sushi, Salad, Desserts, Beverages",800,Japanese," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/suku-japanese-and-thai-restaurant-hsr-bangalore/info,Opens tomorrow at 12noon,728,4.6,4.1,443,400,Excellent,1171,5387.6,Low
138,139,Vapour Brewpub And Diner,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",2200,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road-bangalore/info,12noon – 1am (Today),8477,4.3,3.4,392,1100,Good,8869,38137.7,High
139,140,Plan B,"American, Continental, Burger, Pizza, Tex-Mex, Fast Food",1600,American," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/plan-b-koramangala-7th-block-bangalore/info,12noon – 1am (Today),2908,4.1,4.2,470,800,Good,3378,13850.8,Medium
140,141,Hitchki,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages",2000,North Indian," Phoenix Marketcity Bangalore, Whitefield, Bangalore",Phoenix Marketcity Bangalore,https://www.zomato.com/bangalore/hitchki-kr-puram-bangalore/info,12noon – 12:30am (Today),1736,4.3,3.8,696,1000,Good,2432,10458.6,Medium
141,142,The Fixx,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",1800,North Indian," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/the-fixx-1-koramangala-4th-block-bangalore/info,11am – 12:30am (Today),1129,4.1,4.0,9,900,Good,1138,4666.8,Medium
142,143,The Druid Garden,"North Indian, Asian, Continental, Italian, Chinese, Fast Food",2000,North Indian," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/the-druid-garden-sahakara-nagar-bangalore/info,12noon – 1am (Today),5704,4.2,4.1,5606,1000,Good,11310,47503.0,Medium
143,144,Yuki,"Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts",1600,Asian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/yuki-indiranagar-bangalore/info,12noon – 11:15pm (Today),520,4.5,4.4,293,800,Excellent,813,3659.5,Medium
144,145,The 13th Floor,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts",2500,North Indian," Barton Centre, Bangalore",Barton Centre,https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info,12noon – 12midnight (Today),5999,4.3,4.1,257,1250,Good,6256,26901.8,High
145,146,Badmaash,"North Indian, South Indian, Mughlai, Kebab, Chinese, Biryani, Desserts",1800,North Indian," Lulu Mall, Bangalore",Lulu Mall,https://www.zomato.com/bangalore/badmaash-vijay-nagar-bangalore/info,6pm – 12midnight (Today),478,4.4,0.0,0,900,Good,478,2104.2,Medium
146,147,Cocobolo,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",1000,Bar Food," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/cocobolo-new-bel-road-bangalore/info,12noon – 12midnight (Today),645,4.3,0.0,0,500,Good,645,2774.5,Low
147,148,Hitchki,"Bar Food, Continental, North Indian, Asian, Biryani, Desserts",1900,Bar Food," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/hitchki-sarjapur-road-bangalore/info,"12midnight – 12:45am, 11am – 12midnight (Today)",712,4.1,3.7,646,950,Good,1358,5568.8,Medium
148,149,AB's - Absolute Barbecues,"Biryani, BBQ, Kebab, North Indian, Desserts",1600,Biryani," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli/info,Opens tomorrow at 11am,16200,4.5,3.7,2923,800,Excellent,19123,86054.5,Medium
149,150,Daysie - All Day Casual Bar,"North Indian, Italian, Continental, Asian, Chinese, Bar Food, Desserts",1300,North Indian," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info,12noon – 11:30pm (Today),1151,4.5,4.0,121,650,Excellent,1272,5725.0,Medium
150,151,Geist Brewing Co.,"Continental, Italian, North Indian, Modern Indian, Bar Food, Beverages, Asian, American",1800,Continental," Bhartiya Mall of Bengaluru, Bangalore",Bhartiya Mall of Bengaluru,https://www.zomato.com/bangalore/geist-brewing-co-jakkur-bangalore/info,Opens tomorrow at 12noon,573,4.3,4.0,12,900,Good,585,2516.5,Medium
151,152,Chapter One Bar | Maiin,"North Indian, South Indian, Chinese, Italian, Fast Food, Finger Food, Desserts, Beverages",1400,North Indian," New BEL Road, Bangalore",New BEL Road,https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore/info,10:30am – 12:30am (Today),4706,4.3,4.4,312,700,Good,5018,21578.4,Medium
152,153,Dhaba - Estd 1986 Delhi,"North Indian, Mughlai, Desserts, Paan",1500,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/dhaba-estd-1986-delhi-marathahalli-bangalore/info,12noon – 11:30pm (Today),5422,4.3,3.7,6875,750,Good,12297,52878.1,Medium
153,154,North Star Cafe,"Cafe, Bakery, Beverages, Desserts, Continental, Healthy Food",800,Cafe," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/north-star-cafe-hsr-bangalore/info,"12midnight – 1am, 8am – 12midnight (Today)",527,4.5,4.3,53,400,Excellent,580,2611.0,Low
154,155,Pincode 24 Bar & Bistro,"Bar Food, Continental, North Indian, Burger, Sandwich, Panini, Beverages",1000,Bar Food," Hebbal, Bangalore",Hebbal,https://www.zomato.com/bangalore/pincode-24-bar-bistro-hebbal-bangalore/info,12noon – 12midnight (Today),239,4.5,0.0,0,500,Excellent,239,1076.5,Low
155,156,House Of Commons,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts",1200,Bar Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info,10:30am – 1am (Today),16200,4.5,4.0,1336,600,Excellent,17536,78913.0,Medium
156,157,Arbor Brewing Company,"American, Continental, Fast Food, Beverages",1800,American," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/ArborBrewIndia/info,12noon – 11:30pm (Today),9471,4.6,4.1,148,900,Excellent,9619,44248.4,Medium
157,158,Gilly's Restobar,"Seafood, North Indian, Pizza, Burger, Oriental, Italian, Fast Food",1900,Seafood," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/gillys-restobar-1-marathahalli-bangalore/info,12noon – 12midnight (Today),3961,4.0,3.8,62,950,Good,4023,16093.0,Medium
158,159,Hangover Brewery,"Continental, North Indian, Chinese, Finger Food, Burger, Pizza, Desserts",2000,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/hangover-brewery-koramangala-7th-block-bangalore/info,12noon – 1am (Today),876,4.0,0.0,4,1000,Good,880,3521.0,Medium
159,160,Barbecue By Punjab Grill,"BBQ, Mughlai, North Indian, Salad, Desserts",1600,BBQ," Mantri Square, Malleshwaram, Bangalore",Mantri Square,https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore/info,12noon – 11:30pm (Today),4414,4.2,3.8,370,800,Good,4784,20093.8,Medium
160,161,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,"Iranian, Mediterranean, Afghan, Seafood, Desserts",3500,Iranian," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",Sheraton Grand Bangalore,https://www.zomato.com/bangalore/the-persian-terrace-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram/info,6pm – 11:30pm (Today),1387,4.1,0.0,0,1750,Good,1387,5687.7,High
161,162,Horizon,"Chinese, Japanese, Asian, Salad, Thai, Desserts, Beverages",3000,Chinese," World Trade Center, Bangalore",World Trade Center,https://www.zomato.com/bangalore/horizon-1-malleshwaram-bangalore/info,Opens tomorrow at 12:30pm,462,4.4,0.0,0,1500,Good,462,2033.8,High
162,163,Ishaara,"North Indian, Mughlai, Kebab, Biryani",2500,North Indian," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",Phoenix Mall of Asia,https://www.zomato.com/bangalore/ishaara-hebbal-bangalore/info,Opens tomorrow at 10:30am,315,4.5,3.8,14,1250,Excellent,329,1481.5,High
163,164,Flechazo,"North Indian, Chinese, Pizza, Continental, Fast Food, Desserts, Shake, Beverages",1000,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/flechazo-1-marathahalli-bangalore/info,Opens tomorrow at 11:30am,9622,4.3,3.1,21,500,Good,9643,41465.9,Low
164,165,Kampot,"Vietnamese, Asian, Chinese, Desserts, Beverages, Salad, Korean",1800,Vietnamese," RMZ Ecoworld, Bellandur, Bangalore",RMZ Ecoworld,https://www.zomato.com/bangalore/kampot-bellandur-bangalore/info,Opens tomorrow at 12noon,415,4.3,3.8,18,900,Good,433,1862.9,Medium
165,166,Samosa Party,"Street Food, Tea, North Indian, Desserts, Mithai, Beverages",200,Street Food," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/samosa-party-1-hsr-bangalore/info,24 Hours (Today),77,3.9,4.2,2577,100,Average,2654,10351.6,Low
166,167,Levels Pub & Kitchen,"Asian, South Indian, North Indian",1700,Asian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info,12noon – 11:30pm (Today),6089,4.4,4.3,801,850,Good,6890,30317.0,Medium
167,168,Sashay-Taproom Kitchen,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",2000,Asian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info,12noon – 12midnight (Today),7939,4.8,0.0,0,1000,Excellent,7939,38108.2,Medium
168,169,The Hole In The Wall Cafe,"Cafe, Continental, Burger, Sandwich, Shake, Beverages, Desserts",700,Cafe," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore/info,Opens tomorrow at 8am,8757,4.4,4.3,8159,350,Good,16916,74431.4,Low
169,170,Chili's American Grill & Bar,"Continental, Mexican, American, Italian, Desserts, Beverages",1800,Continental," Orion Mall, Malleshwaram, Bangalore",Orion Mall,https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info,Opens tomorrow at 12noon,10500,4.3,4.2,1029,900,Good,11529,49575.7,Medium
170,171,Gatsby,"Finger Food, Healthy Food, North Indian, Asian, Sushi, Chinese, South Indian, Pizza",2500,Finger Food," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",3442,4.4,3.5,133,1250,Good,3575,15731.0,High
171,172,ShakesBierre,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages",1800,Finger Food," Eva Mall, Brigade Road, Bangalore",Eva Mall,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,11:30am – 1am (Today),3658,4.4,3.9,120,900,Good,3778,16624.2,Medium
172,173,You Mee,"Asian, Sushi, Japanese, Chinese, Desserts, Beverages",2200,Asian," Nexus Shantiniketan, Whitefield, Bangalore",Nexus Shantiniketan,https://www.zomato.com/bangalore/you-mee-whitefield-bangalore/info,11am – 11:30pm (Today),2327,4.4,4.1,4150,1100,Good,6477,28499.8,High
173,174,KOKO,"Asian, Sushi, Desserts, Chinese, Beverages",3500,Asian," Old Airport Road, Bangalore",Old Airport Road,https://www.zomato.com/bangalore/koko-airport-road-bangalore/info,"12noon – 4pm, 7pm – 1am (Today)",151,4.5,4.0,17,1750,Excellent,168,757.0,High
